날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2022-08-01",133,27.6,24.6,32.3
"	2022-08-02",133,27.9,25.4,31.7
"	2022-08-03",133,29.3,26.5,33.4
"	2022-08-04",133,29.2,25.5,34.1
"	2022-08-05",133,28.7,25.7,33.3
"	2022-08-06",133,29.9,26,34.3
"	2022-08-07",133,29.9,27,34.3
"	2022-08-08",133,28.6,27.7,29.8
"	2022-08-09",133,28,25.1,31.4
"	2022-08-10",133,25.3,23.9,28.1
"	2022-08-11",133,24.4,24,26.2
"	2022-08-12",133,27.3,23.5,32.7
"	2022-08-13",133,26,24,29.5
"	2022-08-14",133,26.7,24.1,30.4
"	2022-08-15",133,28.1,25.4,31.3
"	2022-08-16",133,25.8,23.3,30
"	2022-08-17",133,25.6,22.6,30.4
"	2022-08-18",133,25.1,20.3,30.6
"	2022-08-19",133,26.4,21.4,29.7
"	2022-08-20",133,27,24.9,31.1
"	2022-08-21",133,27.5,23.6,32.8
"	2022-08-22",133,27.3,23.6,31.7
"	2022-08-23",133,23.8,22.3,26
"	2022-08-24",133,22.7,20.6,25
"	2022-08-25",133,22.3,18.8,28.5
"	2022-08-26",133,22.9,16.7,29.1
"	2022-08-27",133,21.6,17.2,26.5
"	2022-08-28",133,22.1,15.4,28.2
"	2022-08-29",133,19.6,17.7,21.8
"	2022-08-30",133,19.1,17.4,20.6
"	2022-08-31",133,21,19.7,23.3
"	",,,,
