자치구,LCD형 따릉이,QR형 따릉이,LCD_대여소,QR_대여소
강남구,1124,829,89,86
강동구,723,812,53,67
강북구,404,245,35,25
강서구,1049,2051,67,125
관악구,593,394,43,34
광진구,756,651,35,49
구로구,822,564,63,52
금천구,525,390,40,35
노원구,785,920,57,86
도봉구,394,467,33,43
동대문구,632,699,26,57
동작구,511,428,40,34
마포구,1009,1267,19,102
서대문구,566,747,19,62
서초구,1127,788,78,70
성동구,680,713,26,68
성북구,658,367,49,33
송파구,1270,1591,84,133
양천구,686,831,49,62
영등포구,1156,1578,41,117
용산구,536,783,25,67
은평구,680,505,52,47
종로구,708,934,26,76
중구,419,795,20,69
중랑구,537,545,45,49
