날짜,지점,대여건수,평균기온(℃),최저기온(℃),최고기온(℃),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),강수량(mm)
2023-07-01,108,138848,27.7,23.3,32.9,2,4.5,7.1,
2023-07-02,108,132519,26.7,23.5,30.6,1.9,3.3,5.7,
2023-07-03,108,171026,29.1,24.1,34.9,1.8,4.1,6,
2023-07-04,108,79773,26.1,24.5,29.2,2.3,4.9,9.6,61.8
2023-07-05,108,171939,24.5,22.1,27.1,3.7,7,14.5,15.3
2023-07-06,108,185517,27.3,22.4,31.8,2.7,5.9,11.6,
2023-07-07,108,191206,26.7,23.3,31.4,2.3,5.7,11.9,
2023-07-08,108,154423,25.6,22.4,29.7,2.2,3.9,6.9,
2023-07-09,108,81833,24.7,21.6,27,2,6.1,12.6,47.5
2023-07-10,108,159154,26.3,22.9,30.9,2.3,5.8,16.8,11.5
2023-07-11,108,56819,23.5,21.6,25.9,1.9,5.2,8.6,58.3
2023-07-12,108,168418,25.8,22,29.1,1.5,3.4,5.3,0.7
2023-07-13,108,41165,25.2,24.7,26.5,1.6,3.5,7.2,91.6
2023-07-14,108,24226,24.6,23.9,25.1,2.9,4.8,11,72.7
2023-07-15,108,69393,24.5,23.7,25.7,3,5.8,11.8,2.3
2023-07-16,108,93350,24.6,23.7,25.4,2.3,5,9.2,9.7
2023-07-17,108,147346,25.5,23.7,27.8,1.7,4.2,7.5,1.4
2023-07-18,108,118187,25.2,24.1,27.7,1.4,3.1,5.1,2.3
2023-07-19,108,173226,27.2,22.5,32.4,1.7,4.7,6.7,
2023-07-20,108,169877,27.9,24,32.8,1.8,3.9,5.6,
2023-07-21,108,160865,29.5,24.6,34.3,1.8,3.5,6.3,
2023-07-22,108,84758,27.7,24.6,32.5,2.6,5.2,11.5,12.3
2023-07-23,108,31837,25.2,24.5,25.8,2.1,4.4,9.6,40.2
2023-07-24,108,161070,26.9,24.6,30,2,3.5,6.4,0.4
2023-07-25,108,158705,27.8,25.8,30.5,2.7,5.6,10.1,5.6
2023-07-26,108,146479,27.6,24.9,31.1,2.2,4.9,8.4,1
2023-07-27,108,159895,28.4,24.4,32.2,1.9,3.5,5.7,0
2023-07-28,108,153268,29.5,25.4,34.1,2.1,4.3,7.7,
2023-07-29,108,119933,29.1,26.1,33.3,2,4.8,8.3,
2023-07-30,108,81868,28.8,24.9,34.9,1.9,4.8,9,25
2023-07-31,108,145077,28.7,25.6,33.4,1.7,4,6.4,0.3
2023-08-01,108,152764,29.9,25.5,34.2,1.9,3.1,5.5,
2023-08-02,108,153384,29.7,26.8,33.7,2.1,4.8,7.9,
2023-08-03,108,152246,29.5,25.8,33.8,2.1,4,6.5,
2023-08-04,108,147761,30,26.5,34.4,1.9,3.9,7.3,
2023-08-05,108,112326,30.3,26.4,34.9,2,4.7,7,
2023-08-06,108,96077,29.8,27,33,1.7,7.7,11.9,4.9
2023-08-07,108,145554,30.4,27.3,34.6,2.7,4.5,8.1,
2023-08-08,108,153593,30.9,26.4,35.8,2.9,4.3,7.8,
2023-08-09,108,155572,28.3,25.1,31.6,3.2,5.9,10.6,0.2
2023-08-10,108,9333,22.2,20.9,25.1,3.7,8.9,18.1,86.1
2023-08-11,108,47228,23.5,21.6,24.9,2.3,6.2,13,46.7
2023-08-12,108,102782,23.3,22.5,24.1,1.9,3.2,5.4,1.5
2023-08-13,108,119034,27,22.6,31.1,1.7,2.8,5.6,
2023-08-14,108,156353,28.1,24.8,31.9,1.6,3.9,6.4,
2023-08-15,108,132095,28.6,24.7,32.7,2.3,4.7,7.1,
2023-08-16,108,169885,27.3,24.7,31.6,2.1,3.8,6.5,0.3
2023-08-17,108,170943,28.2,24.5,32.4,1.7,3.2,6.4,
2023-08-18,108,161698,29.1,25.5,33.3,1.9,3.9,6.6,0.1
2023-08-19,108,134303,29.1,26.4,33.6,1.9,4.1,7,
2023-08-20,108,122592,28.3,25.5,31.8,1.6,3.1,6.1,0
2023-08-21,108,163981,29.5,26,33.6,2.4,5.4,10.1,0
2023-08-22,108,101681,27.6,25.8,32.2,2.4,7.2,11.7,42.6
2023-08-23,108,57844,24.8,23.2,27.2,2.2,4.4,7.6,41.8
2023-08-24,108,148749,25.1,22.3,27.8,2.8,4.1,7.5,5.2
2023-08-25,108,173593,26.5,24,30,2.6,4.7,8.3,0
2023-08-26,108,149424,26.4,23.3,30.3,1.8,4,6.8,
2023-08-27,108,126015,26.1,22.7,29.6,1.8,3.2,5.4,0
2023-08-28,108,66917,22.7,20.8,25.6,3.3,5.1,9.4,10.4
2023-08-29,108,63964,23.9,22.5,25.5,2.1,3.9,9.6,54.8
2023-08-30,108,100739,22.8,21.5,24.5,1.1,2.4,3.5,3.5
2023-08-31,108,187063,23.9,21,28.9,1.3,3.5,5.8,
2023-09-01,108,196234,24.5,19.7,29.6,2,3.7,6.4,
2023-09-02,108,167368,25.4,19.7,30.8,1.6,3.7,5.6,
2023-09-03,108,136338,25.8,23.1,28.8,2.2,3.3,5.9,0.1
2023-09-04,108,178038,27,24.3,30.2,1.8,3.5,5.5,0.3
2023-09-05,108,174696,28.5,25,32.8,1.8,3.9,6.3,0
2023-09-06,108,187670,27.9,24,32.1,2.4,4.4,8.2,
2023-09-07,108,131889,26.3,20.9,31.6,2.5,4.4,8,
2023-09-08,108,196674,25.3,19.6,30.5,2.3,4.5,7.1,
2023-09-09,108,167334,25.8,20.8,31.2,1.8,4.1,6.3,
2023-09-10,108,153532,25.7,22,29.6,1.6,3.4,6.2,
2023-09-11,108,199362,25.5,23.1,29.8,1.9,3.8,5.8,
2023-09-12,108,201165,25.7,21.7,29.8,1.5,3.4,5.4,
2023-09-13,108,53263,22.1,19.6,24.6,1.8,4.2,7.7,15.9
2023-09-14,108,194667,23.4,19.2,27.2,2.4,4.1,9.3,
2023-09-15,108,116772,22.3,20.3,24.3,2.6,3.9,7.6,2.1
