구분,계,계_한국인,계_외국인,65세이상고령자
강남구,550282,544873,5409,86606
강동구,463318,459167,4151,82984
강북구,292977,288113,4864,68617
강서구,568826,563058,5768,102096
관악구,497883,481956,15927,85418
광진구,351180,335554,15626,56819
구로구,415651,392405,23246,79984
금천구,241105,227481,13624,45342
노원구,502925,498213,4712,96422
도봉구,309494,306948,2546,70436
동대문구,359873,341149,18724,67030
동작구,389714,378769,10945,70474
마포구,375162,363697,11465,57895
서대문구,320629,306231,14398,58113
서초구,412078,407664,4414,65661
성동구,284766,277361,7405,49462
성북구,438168,425602,12566,80414
송파구,660025,654166,5859,108894
양천구,439252,436028,3224,76317
영등포구,397800,374794,23006,67509
용산구,227106,213151,13955,39747
은평구,470869,466770,4099,93817
종로구,150453,139417,11036,28764
중구,131793,121312,10481,25920
중랑구,387470,382155,5315,78955
