호선명,역명,승차총승객수,하차총승객수
1호선,서울역,54002,51627
1호선,종로3가,29014,27652
1호선,종각,27196,25264
1호선,종로5가,25064,25111
1호선,청량리(서울시립대입구),23817,23564
1호선,시청,23062,23884
1호선,제기동,17729,18561
1호선,동묘앞,15084,16008
1호선,동대문,12853,13134
1호선,신설동,12161,11361
2호선,홍대입구,92676,104511
2호선,잠실(송파구청),90394,88064
2호선,강남,66535,65659
2호선,신림,49502,47131
2호선,신도림,48673,49844
2호선,건대입구,42914,44765
2호선,서울대입구(관악구청),40733,39050
2호선,구로디지털단지,39850,38739
2호선,사당,39506,43593
2호선,신촌,38626,40069
2호선,성수,38077,43598
2호선,을지로입구,36775,35872
2호선,삼성(무역센터),35522,34099
2호선,합정,34900,40068
2호선,강변(동서울터미널),30522,29651
2호선,선릉,29704,26279
2호선,낙성대(강감찬),24435,22156
2호선,잠실새내,23447,24094
2호선,뚝섬,23204,21692
2호선,신대방,22851,21612
2호선,역삼,21028,22650
2호선,대림(구로구청),20720,21758
2호선,구의(광진구청),20557,19522
2호선,봉천,19649,17705
2호선,종합운동장,19487,21455
2호선,교대(법원.검찰청),17942,22333
2호선,을지로3가,17646,16699
2호선,문래,15965,17109
2호선,시청,15674,12495
2호선,영등포구청,15666,16122
2호선,왕십리(성동구청),15588,15147
2호선,동대문역사문화공원(DDP),15358,17653
2호선,이대,14641,15123
2호선,당산,14146,15397
2호선,신당,13703,15077
2호선,서초,13546,11714
2호선,방배,11679,11539
2호선,상왕십리,11559,10801
2호선,을지로4가,10891,11100
2호선,아현,9019,8104
2호선,잠실나루,8934,8783
2호선,신정네거리,8553,8341
2호선,충정로(경기대입구),6804,7066
2호선,한양대,6545,6852
2호선,양천구청,5279,5238
2호선,신설동,4358,4008
2호선,용답,2784,2731
2호선,용두(동대문구청),2274,2203
2호선,신답,1264,1262
2호선,도림천,1040,1058
3호선,고속터미널,62627,59831
3호선,경복궁(정부서울청사),33614,34011
3호선,연신내,31226,29797
3호선,안국,29725,31957
3호선,압구정,27165,29030
3호선,신사,25905,27649
3호선,남부터미널(예술의전당),25289,25130
3호선,양재(서초구청),23743,25940
3호선,구파발,18152,18772
3호선,수서,17119,16486
3호선,홍제,16466,15323
3호선,불광,15085,16381
3호선,녹번,12003,10663
3호선,대치,11929,10721
3호선,약수,10882,10207
3호선,교대(법원.검찰청),10792,5422
3호선,동대입구,10037,11733
3호선,종로3가,9987,13390
3호선,옥수,8530,8358
3호선,을지로3가,8084,8468
3호선,독립문,7915,8733
3호선,매봉,7506,7199
3호선,가락시장,7485,7239
3호선,대청,7322,6844
3호선,금호,7049,6282
3호선,일원,6217,5958
3호선,지축,6062,5611
3호선,경찰병원,4675,4556
3호선,오금,4413,4085
3호선,도곡,4238,4479
3호선,잠원,4004,3760
3호선,무악재,3594,3674
3호선,학여울,2136,2258
3호선,충무로,9,0
4호선,명동,37954,43166
4호선,혜화,36871,38336
4호선,수유(강북구청),30499,29581
4호선,노원,26336,29068
4호선,사당,26333,24285
4호선,회현(남대문시장),25662,26869
4호선,미아사거리,24882,23889
4호선,쌍문,24863,22294
4호선,창동,23179,23858
4호선,충무로,21493,22788
4호선,성신여대입구(돈암),20389,19228
4호선,동대문역사문화공원(DDP),19096,16286
4호선,동대문,18512,18620
4호선,길음,17835,16640
4호선,총신대입구(이수),17200,18576
4호선,신용산,16474,18029
4호선,상계,16233,14820
4호선,미아(서울사이버대학),13723,12820
4호선,한성대입구(삼선교),12526,12498
4호선,숙대입구(갈월),11972,11367
4호선,서울역,9241,21626
4호선,이촌(국립중앙박물관),9155,10018
4호선,당고개,8251,7514
4호선,삼각지,7263,8575
4호선,동작(현충원),1526,1642
4호선,남태령,1318,805
5호선,광화문(세종문화회관),28047,27742
5호선,여의나루,24612,26559
5호선,까치산,23871,22290
5호선,화곡,23751,21727
5호선,천호(풍납토성),20069,19377
5호선,오목교(목동운동장앞),19027,19255
5호선,종로3가,18909,19015
5호선,발산,18730,19958
5호선,여의도,17116,18759
5호선,미사,15587,15586
5호선,아차산(어린이대공원후문),15551,15030
5호선,강동,14214,13903
5호선,장한평,14068,13612
5호선,목동,13189,12872
5호선,광나루(장신대),12392,11979
5호선,답십리,12075,10914
5호선,우장산,11972,11609
5호선,상일동,10870,10298
5호선,영등포시장,10560,10968
5호선,군자(능동),10390,11565
5호선,신정(은행정),10177,8669
5호선,서대문,9994,9407
5호선,마포,9683,9877
5호선,공덕,9218,9283
5호선,김포공항,9002,8248
5호선,굽은다리(강동구민회관앞),8743,7954
5호선,마곡,7953,8073
5호선,고덕,7932,7583
5호선,둔촌동,7700,7477
5호선,명일,7427,7296
5호선,거여,7423,7021
5호선,길동,7374,7585
5호선,올림픽공원(한국체대),7287,7170
5호선,하남시청(덕풍?신장),7265,6766
5호선,하남검단산,6555,6376
5호선,행당,6389,5470
5호선,방이,6363,6205
5호선,방화,5877,5532
5호선,송정,5758,5483
5호선,마천,5592,5470
5호선,신금호,5062,5248
5호선,개롱,5021,5211
5호선,마장,4884,4797
5호선,양평,4682,4384
5호선,강일,4607,4074
5호선,을지로4가,4588,4960
5호선,개화산,4509,4315
5호선,애오개,4442,4351
5호선,신길,4028,3972
5호선,왕십리(성동구청),4001,5135
5호선,하남풍산,3483,3530
5호선,청구,2978,2968
5호선,영등포구청,2853,2686
5호선,오금,2445,2192
5호선,충정로(경기대입구),2369,2208
5호선,동대문역사문화공원(DDP),1616,1978
6호선,망원,17400,19001
6호선,이태원,15669,19304
6호선,합정,15321,14390
6호선,응암,14376,14402
6호선,공덕,13019,12514
6호선,한강진,12625,15389
6호선,상수,11275,12944
6호선,마포구청,11060,9602
6호선,새절(신사),10089,9474
6호선,동묘앞,10088,9731
6호선,석계,9997,10021
6호선,디지털미디어시티,9490,9753
6호선,안암(고대병원앞),8851,7984
6호선,월곡(동덕여대),8578,8114
6호선,신당,8526,7781
6호선,증산(명지대앞),8386,8380
6호선,화랑대(서울여대입구),8340,6692
6호선,삼각지,8266,6639
6호선,돌곶이,7581,6733
6호선,대흥(서강대앞),6888,6791
6호선,고려대(종암),6856,6247
6호선,구산,6701,4953
6호선,보문,6446,5691
6호선,광흥창(서강),6346,5788
6호선,봉화산(서울의료원),6061,5831
6호선,녹사평(용산구청),6046,6906
6호선,효창공원앞,5852,5037
6호선,월드컵경기장(성산),5634,5739
6호선,태릉입구,5318,5386
6호선,상월곡(한국과학기술연구원),4898,4147
6호선,불광,4484,3943
6호선,청구,3080,2698
6호선,역촌,3013,3582
6호선,약수,2943,3076
6호선,창신,2650,2164
6호선,독바위,2295,2471
6호선,버티고개,1708,1820
6호선,연신내,17,0
7호선,노원,22044,23174
7호선,고속터미널,18174,13702
7호선,광명사거리,18004,18084
7호선,철산,17770,17549
7호선,상봉,15850,15399
7호선,가산디지털단지,15814,14325
7호선,이수,14880,13832
7호선,하계,14811,13435
7호선,사가정,13663,13097
7호선,어린이대공원(세종대),13660,13251
